,date,L,UV,TK,TS
0,2023-06-16 00:07:00+03:00,0.0,0.0,12.17,14.76
1,2023-06-16 00:17:00+03:00,0.0,0.0,12.27,15.23
2,2023-06-16 00:27:00+03:00,0.0,0.0,12.4,15.59
3,2023-06-16 00:37:00+03:00,0.0,0.0,12.51,15.52
4,2023-06-16 00:47:00+03:00,0.0,0.0,12.38,15.31
5,2023-06-16 00:57:00+03:00,0.0,0.0,11.9,14.73
6,2023-06-16 01:07:00+03:00,0.0,0.0,11.46,14.5
7,2023-06-16 01:17:00+03:00,0.0,0.0,11.03,13.96
8,2023-06-16 01:27:00+03:00,0.0,0.0,10.7,13.57
9,2023-06-16 01:37:00+03:00,0.0,0.0,10.42,13.07
10,2023-06-16 01:47:00+03:00,0.0,0.0,10.17,12.7
11,2023-06-16 01:57:00+03:00,0.0,0.0,9.96,12.81
12,2023-06-16 02:07:00+03:00,0.0,0.0,9.85,12.73
13,2023-06-16 02:17:00+03:00,0.0,0.0,9.6,12.35
14,2023-06-16 02:27:00+03:00,2.0,0.0,9.58,12.17
15,2023-06-16 02:37:00+03:00,2.0,0.0,9.55,12.51
16,2023-06-16 02:47:00+03:00,8.0,0.0,9.37,12.42
17,2023-06-16 02:57:00+03:00,14.0,0.0,9.24,12.11
18,2023-06-16 03:07:00+03:00,22.0,0.0,9.16,12.01
19,2023-06-16 03:17:00+03:00,42.0,0.0,9.0,12.03
20,2023-06-16 03:27:00+03:00,68.0,0.0,9.04,11.85
21,2023-06-16 03:37:00+03:00,108.0,0.1,9.0,11.6
22,2023-06-16 03:47:00+03:00,166.0,0.2,9.1,11.48
23,2023-06-16 03:57:00+03:00,240.0,0.3,9.14,11.6
24,2023-06-16 04:07:00+03:00,342.0,0.4,9.24,11.64
25,2023-06-16 04:17:00+03:00,456.0,0.6,9.44,11.49
26,2023-06-16 04:27:00+03:00,580.0,0.7,9.82,11.6
27,2023-06-16 04:37:00+03:00,716.0,0.9,10.03,11.85
28,2023-06-16 04:47:00+03:00,864.0,1.1,10.18,11.76
29,2023-06-16 04:57:00+03:00,1018.0,1.3,10.6,11.83
30,2023-06-16 05:07:00+03:00,1186.0,1.5,10.96,12.17
